stop_name,lat,lon,mode
Gombak LRT station,3.226437,101.724989,LRT
Taman Melati LRT station,3.223688,101.726384,LRT
Wangsa Maju LRT station,3.208613,101.733085,LRT
Sri Rampai LRT station,3.201344,101.744175,LRT
Setiawangsa LRT station,3.177713,101.75013,LRT
Jelatek LRT station,3.184833,101.74807,LRT
Dato' Keramat LRT station,3.166291,101.724998,LRT
Damai LRT station (Malaysia),3.166291,101.724998,LRT
Ampang Park LRT station,3.15976,101.707857,LRT
KLCC LRT station,3.15976,101.707857,LRT
Kampung Baru LRT station,3.166093,101.711031,LRT
Dang Wangi LRT station,3.1516964,101.6942371,LRT
Masjid Jamek LRT station,3.1516964,101.6942371,LRT
Pasar Seni LRT station,3.145855,101.69568,LRT
Kuala Lumpur Sentral railway station,-33.888615,151.19979,LRT
Bank Rakyat-Bangsar LRT Station,-7.500732,112.482126,LRT
Abdullah Hukum station,3.118973,101.672512,LRT
Kerinchi LRT station,3.115596,101.668543,LRT
Universiti LRT station,3.07154,101.702468,LRT
Taman Jaya LRT station,3.099175,101.645023,LRT
Asia Jaya LRT station,3.098357,101.590096,LRT
Taman Paramount LRT station,42.858132,140.705498,LRT
Taman Bahagia LRT station,-2.322023,104.459193,LRT
Kelana Jaya LRT station,44.30585,-78.319477,LRT
Lembah Subang LRT station,3.123983,101.582308,LRT
Ara Damansara LRT station,3.123983,101.582308,LRT
Glenmarie LRT station,3.082665,101.561558,LRT
Subang Jaya station,3.079168,101.598234,LRT
SS15 LRT station,3.0766,101.586589,LRT
SS18 LRT station,3.06931,101.594653,LRT
USJ7 LRT station,3.055689,101.580523,LRT
Taipan LRT station,3.055689,101.580523,LRT
Wawasan LRT station,3.0792,101.580845,LRT
USJ21 LRT station,3.0792,101.580845,LRT
Alam Megah LRT station,3.006683,101.568885,LRT
Subang Alam LRT station,3.017094,101.558721,LRT
Putra Heights LRT station,3.012442,101.579268,LRT
Stesen LRT Sentul Timur,3.200893,101.696198,LRT
Stesen LRT Sentul,3.200893,101.696198,LRT
Titiwangsa station,3.166162,101.70943,LRT
Stesen LRT PWTC,3.165086,101.6978325,LRT
Stesen LRT Sultan Ismail,3.151696,101.694237,LRT
Stesen LRT Bandaraya,3.153366,101.699014,LRT
Stesen LRT Masjid Jamek,3.1516964,101.6942371,LRT
Plaza Rakyat LRT station,35.704975,139.7582,LRT
BBCC-Hang Tuah station,3.137433,101.704462,LRT
Stesen LRT Pudu,3.1470725,101.716104,LRT
Stesen Chan Sow Lin,3.125437,101.713447,LRT
Cheras LRT station,3.1516964,101.6942371,LRT
Salak Selatan LRT station,3.1516964,101.6942371,LRT
Bandar Tun Razak LRT station,3.091532,101.712893,LRT
Bandar Tasik Selatan station,3.071825,101.716913,LRT
Sungai Besi station,3.065979,101.712342,LRT
Bukit Jalil LRT station,3.057827,101.674269,LRT
Sri Petaling LRT station,3.068288,101.684762,LRT
Awan Besar LRT station,3.062206,101.664358,LRT
Muhibbah LRT station,3.1516964,101.6942371,LRT
Alam Sutera LRT station,-6.243771,106.653832,LRT
Kinrara BK 5 LRT station,3.043339,101.641019,LRT
IOI Puchong Jaya LRT station,3.039964,101.627957,LRT
Pusat Bandar Puchong LRT station,3.036029,101.616056,LRT
Taman Perindustrian Puchong LRT station,3.011881,101.612986,LRT
Bandar Puteri LRT station,3.02364,101.618385,LRT
Puchong Perdana LRT station,3.03955,101.62447,LRT
Puchong Prima LRT station,3.005267,101.606781,LRT
Stesen LRT Miharja,3.1470725,101.716104,LRT
Stesen Maluri,3.12828,101.737233,LRT
Stesen LRT Pandan Jaya,3.144045,101.765455,LRT
Stesen LRT Pandan Indah,3.144045,101.765455,LRT
Stesen LRT Cempaka,3.13922,101.748311,LRT
Stesen LRT Cahaya,3.138773,101.756844,LRT
Stesen LRT Ampang,3.147792,101.762239,LRT
